"","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood","district","property_type","room_type","accommodates","bedrooms","price","minimum_nights","maximum_nights","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","instant_bookable"
"37",2019-10-16,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Bushwick","Brooklyn","Entire apartment","Entire place",2,1,145,30,1125,100,9,10,10,10,10,10,"FALSE"
"38",2017-09-21,"within a day",1,1,"FALSE",1,"TRUE","TRUE","Upper West Side","Manhattan","Entire apartment","Entire place",6,2,150,2,1125,90,9,9,10,10,10,7,"FALSE"
"39",2015-05-26,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Tompkinsville","Staten Island","Entire apartment","Entire place",4,2,115,3,1125,95,9,9,10,10,9,9,"TRUE"
"40",2011-10-21,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","Williamsburg","Brooklyn","Entire apartment","Entire place",2,2,92,30,1125,93,9,9,10,10,9,9,"TRUE"
"41",2013-11-11,"within a day",1,1,"FALSE",1,"TRUE","TRUE","Harlem","Manhattan","Entire apartment","Entire place",3,1,170,30,1125,87,9,8,10,10,9,9,"TRUE"
"42",2015-06-01,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Sheepshead Bay","Brooklyn","Entire apartment","Entire place",2,1,81,5,1125,84,9,8,10,10,9,9,"FALSE"
"43",2016-08-12,"within a few hours",1,1,"TRUE",1,"TRUE","TRUE","Crown Heights","Brooklyn","Entire apartment","Entire place",2,1,135,30,1125,90,9,9,10,10,9,9,"TRUE"
"44",2014-08-12,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Two Bridges","Manhattan","Entire apartment","Entire place",2,1,200,4,1125,95,9,9,10,10,9,9,"TRUE"
"45",2018-10-01,"within an hour",1,1,"FALSE",1,"TRUE","FALSE","Port Morris","Bronx","Entire apartment","Entire place",4,1,81,1,1125,87,9,9,10,10,9,9,"TRUE"
"46",2015-10-26,"within a day",1,1,"FALSE",1,"TRUE","TRUE","Harlem","Manhattan","Entire apartment","Entire place",3,1,63,31,1125,92,9,9,10,10,9,9,"FALSE"
"47",2011-09-07,"within a few hours",1,1,"FALSE",1,"TRUE","FALSE","Fort Hamilton","Brooklyn","Entire apartment","Entire place",2,1,80,30,1125,93,9,9,10,10,10,9,"FALSE"
"48",2015-05-16,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Hell's Kitchen","Manhattan","Entire apartment","Entire place",2,1,287,1,1125,92,9,9,10,10,10,9,"FALSE"
"49",2015-05-28,"within an hour",1,1,"FALSE",1,"TRUE","FALSE","Lower East Side","Manhattan","Entire apartment","Entire place",2,1,66,4,1125,93,9,8,10,10,10,9,"TRUE"
"50",2014-12-13,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Park Slope","Brooklyn","Entire apartment","Entire place",6,3,157,5,1125,86,9,8,10,10,10,9,"TRUE"
"51",2014-05-07,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Greenpoint","Brooklyn","Entire apartment","Entire place",2,1,75,2,1125,95,9,9,10,10,10,9,"FALSE"
"52",2015-03-01,"within a day",1,1,"FALSE",1,"TRUE","TRUE","West Village","Manhattan","Entire apartment","Entire place",6,1,325,30,1125,94,9,9,10,10,10,9,"FALSE"
"53",2018-08-26,"within a few hours",1,1,"TRUE",1,"TRUE","FALSE","East Village","Manhattan","Entire apartment","Entire place",3,1,140,3,1125,96,9,9,10,10,10,9,"FALSE"
"54",2016-02-11,"within a few hours",1,1,"TRUE",1,"TRUE","TRUE","Chelsea","Manhattan","Entire apartment","Entire place",4,2,285,7,1125,96,9,9,10,10,10,9,"TRUE"
"55",2019-04-30,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","East Village","Manhattan","Entire apartment","Entire place",5,2,149,30,1125,86,9,8,10,10,10,9,"TRUE"
"56",2019-02-21,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Bedford-Stuyvesant","Brooklyn","Entire apartment","Entire place",2,1,205,5,1125,97,9,8,10,10,10,9,"TRUE"
"57",2020-10-24,"within an hour",1,1,"FALSE",1,"TRUE","FALSE","Midtown","Manhattan","Entire apartment","Entire place",4,1,74,1,1125,91,9,9,10,10,10,9,"FALSE"
"58",2014-10-02,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Woodhaven","Queens","Entire apartment","Entire place",3,2,55,4,1125,100,10,10,10,10,8,8,"FALSE"
"59",2019-02-08,"within a few hours",1,1,"FALSE",1,"TRUE","FALSE","Sheepshead Bay","Brooklyn","Entire apartment","Entire place",3,1,99,2,1125,100,10,10,10,10,8,10,"FALSE"
"60",2013-05-11,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Bedford-Stuyvesant","Brooklyn","Entire apartment","Entire place",2,1,74,2,1125,94,10,10,10,10,9,9,"FALSE"
"61",2013-11-25,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","Harlem","Manhattan","Entire apartment","Entire place",4,1,98,3,1125,94,10,10,10,10,9,10,"FALSE"
"62",2012-08-27,"within an hour",1,1,"TRUE",1,"TRUE","FALSE","Bedford-Stuyvesant","Brooklyn","Entire apartment","Entire place",4,1,75,10,1125,95,10,9,10,10,9,10,"FALSE"
"63",2014-01-03,"within a few hours",1,1,"TRUE",1,"TRUE","TRUE","Bedford-Stuyvesant","Brooklyn","Entire apartment","Entire place",5,1,117,3,1125,95,10,10,10,10,9,9,"TRUE"
"64",2011-05-30,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","Bedford-Stuyvesant","Brooklyn","Entire apartment","Entire place",2,1,90,30,1125,96,10,10,10,10,9,10,"FALSE"
"65",2010-12-03,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Prospect-Lefferts Gardens","Brooklyn","Entire apartment","Entire place",3,1,131,5,1125,96,10,10,10,10,9,9,"FALSE"
"66",2015-07-27,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Bushwick","Brooklyn","Entire apartment","Entire place",4,2,110,2,1125,98,10,10,10,10,9,10,"TRUE"
"67",2011-08-01,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","Bushwick","Brooklyn","Entire apartment","Entire place",3,1,150,5,1125,98,10,9,10,10,9,10,"FALSE"
"68",2015-12-04,"within an hour",1,1,"FALSE",1,"TRUE","FALSE","Prospect-Lefferts Gardens","Brooklyn","Entire apartment","Entire place",5,3,140,30,1125,92,10,9,10,10,9,10,"TRUE"
"69",2015-12-08,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","Inwood","Manhattan","Entire apartment","Entire place",2,1,119,7,1125,96,10,10,10,10,9,10,"FALSE"
"70",2016-06-22,"within an hour",1,1,"TRUE",1,"TRUE","FALSE","Bedford-Stuyvesant","Brooklyn","Entire apartment","Entire place",6,1,127,5,1125,98,10,10,10,10,9,10,"FALSE"
"71",2012-02-20,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Bedford-Stuyvesant","Brooklyn","Entire apartment","Entire place",3,2,165,4,1125,98,10,10,10,10,9,10,"FALSE"
"72",2015-07-23,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Greenpoint","Brooklyn","Entire apartment","Entire place",2,1,100,1,1125,90,10,10,10,10,9,9,"FALSE"
"73",2016-11-12,"within a few hours",1,1,"TRUE",1,"TRUE","TRUE","Kew Gardens Hills","Queens","Entire apartment","Entire place",3,1,105,4,1125,95,10,10,10,10,9,9,"TRUE"
"74",2017-03-12,"within an hour",1,1,"TRUE",1,"TRUE","FALSE","Harlem","Manhattan","Entire apartment","Entire place",4,1,155,4,1125,97,10,10,10,10,9,10,"FALSE"
"75",2016-09-09,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Tremont","Bronx","Entire apartment","Entire place",3,1,223,1,1125,97,10,9,10,10,9,10,"TRUE"
"76",2015-06-05,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","East Harlem","Manhattan","Entire apartment","Entire place",4,1,65,30,1125,97,10,9,10,10,9,9,"TRUE"
"77",2017-06-26,"within an hour",1,1,"TRUE",1,"TRUE","FALSE","Great Kills","Staten Island","Entire apartment","Entire place",6,1,99,5,1125,97,10,10,10,10,9,10,"FALSE"
"78",2017-11-11,"within an hour",1,1,"TRUE",1,"TRUE","FALSE","Bedford-Stuyvesant","Brooklyn","Entire apartment","Entire place",4,1,138,2,1125,96,10,10,10,10,9,10,"TRUE"
"79",2017-03-29,"within an hour",1,1,"FALSE",1,"TRUE","FALSE","Astoria","Queens","Entire apartment","Entire place",6,3,290,30,1125,96,10,10,10,10,9,9,"TRUE"
"80",2018-06-12,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Kew Gardens Hills","Queens","Entire apartment","Entire place",2,1,95,1,1125,98,10,10,10,10,9,9,"TRUE"
"81",2014-04-08,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Dyker Heights","Brooklyn","Entire apartment","Entire place",4,2,170,30,1125,96,10,10,10,10,9,9,"FALSE"
"82",2017-03-18,"within an hour",1,1,"TRUE",1,"TRUE","FALSE","East Village","Manhattan","Entire apartment","Entire place",4,1,100,3,1125,100,10,10,10,10,9,10,"TRUE"
"83",2017-11-04,"within an hour",1,1,"TRUE",1,"TRUE","FALSE","Bushwick","Brooklyn","Entire apartment","Entire place",4,1,126,2,1125,97,10,10,10,10,9,10,"FALSE"
"84",2018-11-16,"within an hour",1,1,"TRUE",1,"TRUE","FALSE","Clinton Hill","Brooklyn","Entire apartment","Entire place",5,2,150,3,1125,98,10,10,10,10,9,9,"TRUE"
"85",2018-11-27,"within an hour",1,1,"TRUE",1,"TRUE","FALSE","Jamaica","Queens","Entire apartment","Entire place",3,1,60,2,1125,97,10,10,10,10,9,10,"TRUE"
"86",2018-12-10,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","East Harlem","Manhattan","Entire apartment","Entire place",7,3,200,7,1125,95,10,10,10,10,9,9,"FALSE"
"87",2014-12-18,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Washington Heights","Manhattan","Entire apartment","Entire place",2,1,135,2,1125,100,10,10,10,10,9,9,"TRUE"
"88",2019-02-16,"within a few hours",1,1,"TRUE",1,"TRUE","FALSE","Bensonhurst","Brooklyn","Entire apartment","Entire place",4,1,80,30,1125,100,10,9,10,10,9,10,"FALSE"
"89",2016-05-07,"within a few hours",1,1,"FALSE",1,"TRUE","FALSE","Bedford-Stuyvesant","Brooklyn","Entire apartment","Entire place",2,1,140,30,1125,100,10,10,10,10,9,10,"FALSE"
"90",2017-03-09,"within a day",1,1,"TRUE",1,"TRUE","TRUE","Bedford-Stuyvesant","Brooklyn","Entire apartment","Entire place",2,1,90,8,1125,95,10,10,10,10,9,10,"FALSE"
"91",2017-11-30,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Hell's Kitchen","Manhattan","Entire apartment","Entire place",6,1,300,2,1125,100,10,10,10,10,9,9,"FALSE"
"92",2016-06-11,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Flatlands","Brooklyn","Entire apartment","Entire place",2,1,75,2,1125,93,10,10,10,10,9,9,"FALSE"
"93",2018-06-03,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Bushwick","Brooklyn","Entire apartment","Entire place",2,1,91,3,1125,100,10,10,10,10,9,10,"FALSE"
"94",2014-01-07,"within a day",1,1,"FALSE",1,"TRUE","TRUE","Inwood","Manhattan","Entire apartment","Entire place",2,2,82,7,1125,100,10,6,10,10,10,10,"FALSE"
"95",2017-11-29,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Little Italy","Manhattan","Entire apartment","Entire place",2,1,79,1,1125,87,10,8,10,10,10,9,"TRUE"
"96",2010-07-02,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","Hell's Kitchen","Manhattan","Entire apartment","Entire place",2,1,90,6,1125,100,10,8,10,10,10,10,"FALSE"
"97",2011-08-04,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Prospect Heights","Brooklyn","Entire apartment","Entire place",2,1,175,3,1125,95,10,9,10,10,10,10,"TRUE"
"98",2015-05-29,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","Upper East Side","Manhattan","Entire apartment","Entire place",3,1,350,3,1125,97,10,9,10,10,10,9,"FALSE"
"99",2013-05-06,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Upper West Side","Manhattan","Entire apartment","Entire place",2,1,150,30,1125,96,10,9,10,10,10,10,"FALSE"
"100",2012-07-31,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Fort Greene","Brooklyn","Entire apartment","Entire place",4,1,139,2,1125,96,10,9,10,10,10,9,"TRUE"
"101",2016-06-16,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Harlem","Manhattan","Entire apartment","Entire place",6,3,250,3,1125,91,10,9,10,10,10,9,"FALSE"
"102",2016-08-09,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Hell's Kitchen","Manhattan","Entire apartment","Entire place",4,1,130,30,1125,97,10,9,10,10,10,9,"TRUE"
"103",2009-02-10,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","Upper West Side","Manhattan","Entire apartment","Entire place",2,1,135,30,1125,96,10,9,10,10,10,10,"FALSE"
"104",2016-08-02,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Hell's Kitchen","Manhattan","Entire apartment","Entire place",3,1,69,3,1125,97,10,9,10,10,10,10,"TRUE"
"105",2015-06-12,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Brooklyn Heights","Brooklyn","Entire apartment","Entire place",4,1,275,2,1125,96,10,9,10,10,10,9,"TRUE"
"106",2015-03-24,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Bushwick","Brooklyn","Entire apartment","Entire place",3,1,120,2,1125,98,10,9,10,10,10,10,"FALSE"
"107",2014-06-20,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Williamsburg","Brooklyn","Entire apartment","Entire place",5,2,286,4,1125,98,10,9,10,10,10,9,"FALSE"
"108",2015-09-14,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","Harlem","Manhattan","Entire apartment","Entire place",3,1,100,30,1125,97,10,9,10,10,10,10,"FALSE"
"109",2013-09-17,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","Fort Hamilton","Brooklyn","Entire apartment","Entire place",3,1,100,30,1125,96,10,9,10,10,10,9,"FALSE"
"110",2011-06-02,"within a few hours",1,1,"TRUE",1,"TRUE","TRUE","Clinton Hill","Brooklyn","Entire apartment","Entire place",3,1,108,30,1125,98,10,9,10,10,10,10,"FALSE"
"111",2012-09-18,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Bedford-Stuyvesant","Brooklyn","Entire apartment","Entire place",2,1,129,2,1125,94,10,9,10,10,10,9,"TRUE"
"112",2012-08-01,"within an hour",1,1,"FALSE",1,"TRUE","FALSE","Little Italy","Manhattan","Entire apartment","Entire place",4,2,370,7,1125,98,10,9,10,10,10,10,"FALSE"
"113",2012-07-31,"within a day",1,1,"FALSE",1,"TRUE","TRUE","Bedford-Stuyvesant","Brooklyn","Entire apartment","Entire place",4,1,100,30,1125,96,10,9,10,10,10,10,"FALSE"
"114",2019-02-21,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Bedford-Stuyvesant","Brooklyn","Entire apartment","Entire place",4,1,150,30,1125,97,10,9,10,10,10,9,"TRUE"
"115",2016-04-07,"within a few hours",1,1,"TRUE",1,"TRUE","TRUE","East Village","Manhattan","Entire apartment","Entire place",2,1,100,1,1125,97,10,9,10,10,10,10,"FALSE"
"116",2017-03-03,"within a few hours",1,1,"FALSE",1,"TRUE","FALSE","Harlem","Manhattan","Entire apartment","Entire place",4,2,99,3,1125,93,10,9,10,10,10,9,"FALSE"
"117",2011-01-25,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Williamsburg","Brooklyn","Entire apartment","Entire place",6,2,170,3,1125,97,10,9,10,10,10,9,"FALSE"
"118",2009-05-17,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Fort Greene","Brooklyn","Entire apartment","Entire place",4,1,199,2,1125,97,10,10,10,10,10,9,"TRUE"
"119",2012-12-14,"within a few hours",1,1,"TRUE",1,"TRUE","TRUE","Upper East Side","Manhattan","Entire apartment","Entire place",2,1,185,6,1125,97,10,10,10,10,10,9,"FALSE"
"120",2015-09-10,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","East Flatbush","Brooklyn","Entire apartment","Entire place",4,1,93,2,1125,97,10,10,10,10,10,9,"TRUE"
"121",2015-06-12,"within a few hours",1,1,"TRUE",1,"TRUE","TRUE","East Village","Manhattan","Entire apartment","Entire place",8,2,454,30,1125,97,10,10,10,10,10,9,"TRUE"
"122",2013-01-14,"within an hour",1,1,"FALSE",1,"TRUE","FALSE","Windsor Terrace","Brooklyn","Entire apartment","Entire place",2,1,100,5,1125,94,10,10,10,10,10,9,"FALSE"
"123",2015-03-04,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","Prospect-Lefferts Gardens","Brooklyn","Entire apartment","Entire place",6,2,190,4,1125,96,10,10,10,10,10,9,"FALSE"
"124",2013-10-23,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","South Slope","Brooklyn","Entire apartment","Entire place",4,2,250,3,1125,98,10,10,10,10,10,9,"TRUE"
"125",2017-07-20,"within a day",1,1,"FALSE",1,"TRUE","TRUE","Chelsea","Manhattan","Entire apartment","Entire place",2,1,350,30,1125,100,10,10,10,10,10,9,"FALSE"
"126",2012-04-26,"within a day",1,1,"FALSE",1,"TRUE","TRUE","Harlem","Manhattan","Entire apartment","Entire place",4,1,92,30,1125,98,10,10,10,10,10,9,"TRUE"
"127",2019-04-02,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Nolita","Manhattan","Entire apartment","Entire place",4,1,185,7,1125,95,10,10,10,10,10,9,"TRUE"
"128",2012-11-08,"within a day",1,1,"FALSE",1,"TRUE","FALSE","Upper West Side","Manhattan","Entire apartment","Entire place",6,3,258,30,1125,95,10,10,10,10,10,10,"FALSE"
"129",2017-09-22,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Chelsea","Manhattan","Entire apartment","Entire place",6,3,733,30,1125,100,10,10,10,10,10,10,"FALSE"
"130",2011-05-16,"within an hour",1,1,"FALSE",1,"TRUE","FALSE","Crown Heights","Brooklyn","Entire apartment","Entire place",5,3,85,7,1125,100,10,10,10,10,10,10,"FALSE"
"131",2014-02-19,"within a day",1,1,"FALSE",1,"TRUE","TRUE","Springfield Gardens","Queens","Entire apartment","Entire place",6,3,190,3,1125,100,10,10,10,10,10,10,"FALSE"
"132",2015-03-01,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Crown Heights","Brooklyn","Entire apartment","Entire place",4,3,180,30,1125,100,10,10,10,10,10,10,"FALSE"
"133",2020-12-15,"within an hour",1,1,"FALSE",1,"TRUE","FALSE","Canarsie","Brooklyn","Entire apartment","Entire place",6,3,130,3,1125,100,10,10,10,10,10,10,"TRUE"
"134",2012-07-05,"within a few hours",1,1,"FALSE",1,"TRUE","TRUE","Harlem","Manhattan","Entire apartment","Entire place",2,2,99,30,1125,100,10,10,10,10,10,10,"FALSE"
"135",2010-03-02,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Greenpoint","Brooklyn","Entire apartment","Entire place",4,2,130,30,1125,100,10,10,10,10,10,10,"FALSE"
"136",2015-04-13,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Williamsburg","Brooklyn","Entire apartment","Entire place",5,2,245,30,1125,99,10,10,10,10,10,10,"FALSE"
"137",2015-06-08,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Sunset Park","Brooklyn","Entire apartment","Entire place",4,2,80,30,1125,96,10,10,10,10,10,10,"TRUE"
"138",2012-10-18,"within an hour",1,1,"TRUE",1,"TRUE","TRUE","Bushwick","Brooklyn","Entire apartment","Entire place",4,2,128,30,1125,100,10,10,10,10,10,10,"FALSE"
"139",2014-09-10,"within an hour",1,1,"FALSE",1,"TRUE","TRUE","Greenpoint","Brooklyn","Entire apartment","Entire place",2,2,200,30,1125,100,10,10,10,10,10,10,"FALSE"
"140",2015-04-28,"within a few hours",1,1,"TRUE",1,"TRUE","TRUE","Bushwick","Brooklyn","Entire apartment","Entire place",4,2,90,31,1125,99,10,10,10,10,10,10,"FALSE"
